observation_date,DEXSLUS
2016-01-15,143.5505
2016-01-18,143.5505
2016-01-19,143.5505
2016-01-20,143.5505
2016-01-21,143.5505
2016-01-22,143.5505
2016-01-25,143.5505
2016-01-26,143.5505
2016-01-27,143.5505
2016-01-28,143.5505
2016-01-29,143.5505
2016-02-01,143.6390
2016-02-02,143.6390
2016-02-03,143.6390
2016-02-04,143.6390
2016-02-05,143.6390
2016-02-08,143.6390
2016-02-09,143.6390
2016-02-10,143.6390
2016-02-11,143.6390
2016-02-12,143.6390
2016-02-15,143.6390
2016-02-16,143.6390
2016-02-17,143.6390
2016-02-18,143.6390
2016-02-19,143.6390
2016-02-22,143.6390
2016-02-23,143.6390
2016-02-24,143.6390
2016-02-25,143.6390
2016-02-26,143.6390
2016-02-29,143.6390
2016-03-01,145.1335
2016-03-02,145.1335
2016-03-03,145.1335
2016-03-04,145.1335
2016-03-07,145.1335
2016-03-08,145.1335
2016-03-09,145.1335
2016-03-10,145.1335
2016-03-11,145.1335
2016-03-14,145.1335
2016-03-15,145.1335
2016-03-16,145.1335
2016-03-17,145.1335
2016-03-18,145.1335
2016-03-21,145.1335
2016-03-22,145.1335
2016-03-23,145.1335
2016-03-24,145.1335
2016-03-25,145.1335
2016-03-28,145.1335
2016-03-29,145.1335
2016-03-30,145.1335
2016-03-31,145.1335
2016-04-01,145.2019
2016-04-04,145.2019
2016-04-05,145.2019
2016-04-06,145.2019
2016-04-07,145.2019
2016-04-08,145.2019
2016-04-11,145.2019
2016-04-12,145.2019
2016-04-13,145.2019
2016-04-14,145.2019
2016-04-15,145.2019
2016-04-18,145.2019
2016-04-19,145.2019
2016-04-20,145.2019
2016-04-21,145.2019
2016-04-22,145.2019
2016-04-25,145.2019
2016-04-26,145.2019
2016-04-27,145.2019
2016-04-28,145.2019
2016-04-29,145.2019
2016-05-02,145.9081
2016-05-03,145.9081
2016-05-04,145.9081
2016-05-05,145.9081
2016-05-06,145.9081
2016-05-09,145.9081
2016-05-10,145.9081
2016-05-11,145.9081
