Year,District,Employee_(%),Self_Employed_Employer_(%),Self_Employed_Own_account_worker_(%),Self_Employed_Contributing_family_worker_(%)
2024,Vavuniya,100.0,46.9,1.5,48.1,3.4
2020,Mullaitivu,100.0,43.5,0.8,50.9,4.8
2021,Mullaitivu,100.0,52.1,1.2,42.2,4.4
2022,Mullaitivu,100.0,49.6,4.0,42.1,4.3
2023,Mullaitivu,100.0,50.6,6.1,37.4,5.9
2024,Mullaitivu,100.0,52.7,4.7,38.9,3.8
2020,Kilinochchi,100.0,64.8,0.7,33.8,0.8
2021,Kilinochchi,100.0,62.5,1.5,33.9,2.0
2022,Kilinochchi,100.0,65.4,1.8,32.8,0.0
2023,Kilinochchi,100.0,63.0,2.3,32.3,2.3
2024,Kilinochchi,100.0,65.0,2.9,29.9,2.3
2020,Batticaloa,100.0,62.3,1.6,33.6,2.5
2021,Batticaloa,100.0,60.9,1.5,35.6,1.9
2022,Batticaloa,100.0,62.5,2.4,32.6,2.5
2023,Batticaloa,100.0,67.5,3.8,27.3,1.5
2024,Batticaloa,100.0,65.3,3.1,29.6,2.0
2020,Ampara,100.0,61.4,1.4,34.4,2.9
2021,Ampara,100.0,62.1,3.5,32.1,2.3
2022,Ampara,100.0,63.6,2.3,30.4,3.7
2023,Ampara,100.0,66.6,1.2,29.0,3.3
2024,Ampara,100.0,53.9,1.5,40.2,4.3
2020,Trincomalee,100.0,63.4,2.9,31.4,2.2
2021,Trincomalee,100.0,58.1,1.7,36.8,3.4
2022,Trincomalee,100.0,60.9,0.9,33.9,4.4
2023,Trincomalee,100.0,60.9,0.6,35.3,3.2
2024,Trincomalee,100.0,67.4,1.1,30.1,1.4
2020,Kurunegala,100.0,48.6,1.6,39.8,10.0
2021,Kurunegala,100.0,51.6,1.8,36.6,9.9
2022,Kurunegala,100.0,49.3,2.8,39.6,8.3
2023,Kurunegala,100.0,50.8,1.9,39.0,8.2
2024,Kurunegala,100.0,50.4,2.2,40.4,7.0
2020,Puttalam,100.0,57.4,4.3,31.2,7.1
2021,Puttalam,100.0,52.1,4.1,37.3,6.5
2022,Puttalam,100.0,54.7,4.0,34.2,7.0
2023,Puttalam,100.0,53.6,4.4,35.2,6.9
2024,Puttalam,100.0,55.0,4.5,33.5,7.0
2020,Anuradhapura,100.0,38.6,0.7,45.8,14.9
2021,Anuradhapura,100.0,38.6,1.4,44.9,15.1
2022,Anuradhapura,100.0,38.0,1.7,47.3,13.0
2023,Anuradhapura,100.0,42.0,1.3,46.4,10.3
2024,Anuradhapura,100.0,36.8,1.7,49.4,12.2
2020,Polonnaruwa,100.0,48.9,1.4,41.0,8.8
2021,Polonnaruwa,100.0,39.6,1.4,50.6,8.4
2022,Polonnaruwa,100.0,47.3,1.5,44.4,6.9
2023,Polonnaruwa,100.0,44.4,1.1,46.4,8.1
2024,Polonnaruwa,100.0,40.4,1.0,49.6,9.0
2020,Badulla,100.0,46.8,0.2,38.5,14.5
2021,Badulla,100.0,44.5,0.3,38.6,16.6
2022,Badulla,100.0,47.2,0.6,39.7,12.5
2023,Badulla,100.0,46.4,0.5,41.8,11.4
2024,Badulla,100.0,50.6,0.7,37.5,11.2
2020,Monaragala,100.0,39.9,1.5,52.5,6.2
2021,Monaragala,100.0,37.9,0.5,54.1,7.5
2022,Monaragala,100.0,41.5,0.8,46.7,11.0
2023,Monaragala,100.0,37.0,0.9,52.1,10.0
2024,Monaragala,100.0,35.0,1.1,51.7,12.2
2020,Ratnapura,100.0,51.3,2.9,35.0,10.9
2021,Ratnapura,100.0,52.9,2.5,36.1,8.5
2022,Ratnapura,100.0,53.3,2.8,36.6,7.2
2023,Ratnapura,100.0,55.4,1.5,36.7,6.5
2024,Ratnapura,100.0,56.7,2.8,34.9,5.6
2020,Kegalle,100.0,58.1,1.4,32.3,8.1
2021,Kegalle,100.0,58.7,1.6,33.8,6.0
2022,Kegalle,100.0,61.0,1.6,31.8,5.7
2023,Kegalle,100.0,63.1,1.5,30.1,5.3
2024,Kegalle,100.0,66.3,1.3,28.8,3.6
