Year,District,Total_(%),Male_(%),Female_(%)
2024,Kilinochchi,100.0,71.2,28.8
2024,Batticaloa,100.0,71.8,28.2
2024,Ampara,100.0,76.6,23.4
2024,Trincomalee,100.0,83.2,16.8
2024,Kurunegala,100.0,62.2,37.8
2024,Puttalam,100.0,68.8,31.2
2024,Anuradhapura,100.0,65.4,34.6
2024,Polonnaruwa,100.0,73.4,26.6
2024,Badulla,100.0,64.9,35.1
2024,Monaragala,100.0,66.1,33.9
2024,Rathnapura,100.0,66.3,33.7
2024,Kegalle,100.0,60.8,39.2
